,ts_code,name
0,159915.SZ,创业板指ETF
1,510330.SH,沪深300ETF
2,510050.SH,上证50ETF
3,159601.SZ,A50ETF
4,512500.SH,500ETF基金
5,159338.SZ,中证A500ETF
6,560010.SH,中证1000ETF
7,588000.SH,科创50ETF
8,159902.SZ,中小板
9,563300.SH,中证2000ETF
10,515220.SH,煤炭ETF
11,512880.SH,证券ETF
12,159865.SZ,养殖ETF
13,159643.SZ,疫苗ETF
14,512660.SH,军工ETF
15,512290.SH,生物医疗ETF
16,512720.SH,计算机ETF
17,515880.SH,通信ETF
18,515070.SH,人工智能AIETF
19,562500.SH,机器人ETF
20,159869.SZ,游戏ETF
21,510230.SH,金融ETF
22,515210.SH,钢铁ETF
23,518800.SH,黄金ETF
24,159996.SZ,家电ETF
25,515170.SH,食品饮料ETF
26,159967.SZ,创业板成长ETF
27,515030.SH,新能源车ETF
28,512760.SH,芯片ETF
29,159516.SZ,半导体设备材料ETF
30,515050.SH,5GETF
31,159790.SZ,碳中和ETF
32,159663.SZ,机床ETF
33,515050.SH,光伏ETF
34,562510.SH,旅游ETF
35,516020.SH,化工ETF
36,512170.SH,医疗ETF
37,512800.SH,银行ETF
38,515000.SH,科技ETF
39,515260.SH,电子ETF
40,561560.SH,电力ETF
41,516800.SH,智能制造ETF
42,159201.SZ,现金流ETF
43,510880.SH,红利ETF
44,511260.SH,十年国债ETF
45,551550.SH,科创债ETF
46,517090.SH,央企共赢ETF
47,159920.SZ,恒生ETF
48,513180.SH,恒生科技ETF
49,513330.SH,恒生互联网ETF
50,513910.SH,港股央企红利ETF
51,159892.SZ,恒生医药ETF
52,513100.SH,纳指ETF
53,513500.SH,标普500ETF
54,513400.SH,道琼斯ETF
55,159928.SZ,消费ETF
